origine_comune_italia,something_else
3058,a
,2
34027,3
15146,4
18110,5
15154,6
19067,7
6003,8
,9
,10
3149,11
12070,12
15118,13
12070,14
15146,15
17061,16
108020,17
15146,18
,19
,20
1013,21
15146,22
15093,23
,24
,25
,26
15146,27
72006,28
15155,29
15166,30
15205,31
1272,32
15146,33
15146,34
15170,35
1078,36
1272,37
15146,38
15146,39
15166,40
15192,41
15146,42
15166,43
108033,44
15205,45
1272,46
15076,47
16072,48
,49
15087,50
16219,51
97062,52
15081,53
15077,54
15059,55
15046,56
15074,57
15146,58
15146,59
15146,60
15058,61
108004,62
15070,63
15146,64
12119,65
35033,66
15172,67
15146,68
18182,69
,70
18093,71
15181,72
98031,73
,74
15205,75
12084,76
15146,77
15146,78
15146,79
15077,80
3106,81
15146,82
18110,83
,84
15146,85
12026,86
,87
15060,88
108033,89
15146,90
34027,91
108001,92
15146,93
12123,94
15086,95
1272,96
1183,97
15010,98
,99
15036,100
108033,101
15168,102
15146,103
15209,104
,105
13075,106
15146,107
34027,108
,109
13053,110
108027,111
17156,112
15070,113
15077,114
15012,115
18069,116
108012,117
14029,118
108019,119
15146,120
15146,121
23091,122
15146,123
15146,124
98008,125
36005,126
15146,127
12012,128
15146,129
15146,130
15077,131
15146,132
15146,133
108047,134
15181,135
15059,136
108025,137
15146,138
108004,139
17150,140
108030,141
15051,142
12042,143
,144
15146,145
12133,146
15146,147
15105,148
,149
,150
15146,151
15146,152
15146,153
15146,154
,155
15146,156
15051,157
15146,158
15146,159
15146,160
15139,161
15146,162
15093,163
108035,164
15146,165
108044,166
,167
18110,168
15040,169
15146,170
15146,171
15146,172
15146,173
15050,174
19036,175
98019,176
58091,177
15070,178
12127,179
15146,180
15146,181
15146,182
15170,183
15146,184
15098,185
13110,186
108003,187
15146,188
108033,189
15086,190
15146,191
,192
15027,193
15026,194
15146,195
13034,196
13136,197
15002,198
15115,199
16024,200
108023,201
15074,202
108033,203
18014,204
15211,205
,206
15032,207
15081,208
12070,209
15032,210
15146,211
15206,212
15206,213
15146,214
15146,215
18110,216
15146,217
15058,218
3106,219
15146,220
108024,221
15146,222
13041,223
15146,224
15171,225
15157,226
15074,227
16198,228
15027,229
15154,230
15237,231
13035,232
5045,233
15146,234
15140,235
1255,236
15146,237
35020,238
15146,239
15146,240
15146,241
12003,242
15146,243
18110,244
16249,245
2158,246
108019,247
13128,248
34027,249
12016,250
15076,251
15146,252
12026,253
15011,254
97012,255
108044,256
15146,257
15142,258
97066,259
5005,260
15170,261
15146,262
15070,263
15131,264
15146,265
15032,266
18015,267
15222,268
15146,269
108030,270
15146,271
15166,272
15072,273
97061,274
98031,275
15146,276
15086,277
15157,278
108024,279
97012,280
,281
3106,282
12123,283
15118,284
18068,285
15146,286
15146,287
12085,288
4215,289
1249,290
15146,291
15146,292
6174,293
15146,294
15118,295
15195,296
15146,297
13075,298
12075,299
15189,300
15146,301
15071,302
23091,303
15205,304
108028,305
15146,306
,307
15146,308
15118,309
15146,310
33032,311
15146,312
15070,313
15093,314
15173,315
15171,316
15191,317
98021,318
15146,319
12070,320
13249,321
15146,322
15077,323
15146,324
15195,325
15140,326
27024,327
15146,328
108024,329
15146,330
15229,331
15146,332
108033,333
15146,334
15146,335
6081,336
15146,337
15070,338
15189,339
15081,340
15146,341
108038,342
16062,343
15002,344
28060,345
12118,346
15146,347
15146,348
13133,349
16024,350
15205,351
15146,352
15146,353
15157,354
99014,355
18173,356
15002,357
33033,358
15077,359
18162,360
15146,361
99014,362
15106,363
15146,364
13143,365
15146,366
15012,367
